Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
32	5312.1626	85.93849	5445.781	5205.7915	5780.7275	62.23968	5873.19	5685.6133	1000.0	1000.0	127999	377.11957	86.89169	453.1425	13.401375	377.11987	86.892075	454.22018	18.503489	2.5156307	4.3642707	40.27843	-13.570974	-377.07306	16.065254	2323.644838809967
33	5408.5425	90.50121	5518.0376	5268.7036	5786.1772	78.70319	5884.53	5584.376	1000.0	1000.0	131999	381.24524	87.00418	457.5036	19.806774	381.2455	87.005455	457.59988	12.839207	2.5388298	4.3719616	46.72784	-13.390278	-381.1751	16.18072	2397.491651058197
34	5417.666	52.211987	5488.2056	5340.943	5887.1123	72.64813	6019.3857	5800.745	1000.0	1000.0	135999	385.73743	86.41906	466.11432	24.438679	385.7369	86.41995	464.48254	20.013935	2.5749843	4.321641	36.95939	-12.254684	-385.65207	16.06821	2471.6817264556885
35	5474.8545	28.156807	5521.091	5447.78	5907.296	71.90954	5999.031	5770.5884	1000.0	1000.0	139999	389.9579	86.141785	469.15652	11.700323	389.9578	86.142845	469.42603	13.131695	2.6235244	4.333889	37.965508	-14.09121	-389.85538	16.54737	2545.8585040569305
36	5490.6147	123.96678	5651.478	5305.199	5850.0454	72.8906	5993.5977	5778.9263	1000.0	1000.0	143999	393.8264	85.76127	471.39807	16.861698	393.82645	85.761086	470.64252	9.688011	2.661572	4.3568482	30.914246	-12.543092	-393.719	16.567043	2618.538234949112
37	5429.7227	65.42893	5502.3926	5328.519	5874.0396	68.45123	5966.38	5744.525	1000.0	1000.0	147999	397.7043	85.2391	472.47446	24.296007	397.704	85.239944	472.9179	5.2292213	2.6706371	4.35711	40.136955	-12.4386635	-397.59305	16.277119	2692.223810195923
38	5492.4873	61.83326	5584.3525	5418.688	5942.5986	74.009315	6089.3677	5859.252	1000.0	1000.0	151999	401.2997	85.52997	476.70657	12.36009	401.29953	85.5305	478.59018	-5.212001	2.6540375	4.341755	40.753498	-15.738585	-401.18466	16.021614	2765.818161725998
39	5518.188	113.420395	5651.654	5356.2866	5745.344	772.7811	6093.6475	3433.5962	1000.0	1000.0	155999	404.84677	84.98812	479.76816	10.171484	404.8466	84.9892	478.3546	1.4463844	2.6307166	4.2934437	35.79029	-13.878529	-404.7227	16.060656	2840.211348295212
40	5609.079	40.161983	5665.496	5552.189	5976.4897	72.28259	6107.9004	5863.5444	1000.0	1000.0	159999	408.1083	84.794914	483.3411	23.59356	408.1086	84.795204	481.99704	24.938887	2.6959782	4.337616	52.418034	-13.9494915	-407.9819	16.188154	2915.7582790851593
41	5711.0645	93.39895	5836.9375	5583.8105	5101.7275	1751.7747	6100.26	969.58624	1000.0	1000.0	163999	411.82764	84.29984	486.96948	10.518738	411.82745	84.30039	486.55234	1.5312998	2.65604	4.3148184	40.69062	-12.020118	-411.6947	16.813257	2989.2954592704773
42	5684.57	44.234585	5745.864	5626.245	6060.274	54.72796	6152.542	5961.662	1000.0	1000.0	167999	415.41824	84.0866	490.92737	21.942057	415.4181	84.08723	490.92102	19.051857	2.7074435	4.3443937	38.701557	-14.228448	-415.27188	16.057352	3061.942269563675
43	5592.933	61.535442	5657.4136	5512.1743	6064.8633	60.847355	6145.0854	5943.5127	1000.0	1000.0	171999	418.57257	84.02574	492.9751	19.052021	418.5727	84.02557	493.61682	15.44319	2.7200024	4.31603	43.62504	-13.220009	-418.41418	16.133724	3156.4509167671204
44	5798.749	32.587822	5837.641	5760.346	5975.2876	598.1252	6391.2007	4199.4146	1000.0	1000.0	175999	421.72235	83.70143	495.7592	9.539276	421.7221	83.7014	495.6745	9.506389	2.6972768	4.3117957	40.418205	-13.989218	-421.55472	16.466394	3229.686115026474
45	5740.6357	59.92232	5826.895	5658.6553	5639.241	1680.4668	6357.234	602.0044	1000.0	1000.0	179999	425.03763	83.44865	498.029	6.571396	425.0377	83.4489	498.09872	-5.6644287	2.7603028	4.3158064	42.14066	-13.109387	-424.87427	16.782106	3302.6221640110016
46	5335.8857	895.63635	5894.7197	3786.5698	6225.4873	54.79646	6321.294	6154.9375	1000.0	1000.0	183999	427.58508	84.69687	503.47357	17.308245	427.58487	84.697655	502.52298	-0.22263098	2.8056512	4.32434	31.781109	-12.879416	-427.4096	17.327137	3384.1343233585358
47	5792.122	84.16492	5881.9575	5660.167	6224.0283	54.997097	6310.898	6141.772	1000.0	1000.0	187999	429.85785	85.216446	504.63803	-7.412923	429.8579	85.21701	505.53772	3.950176	2.7970276	4.324926	32.76967	-14.822914	-429.6813	18.02491	3459.290548801422
48	5800.5054	35.942398	5828.5615	5738.772	6148.5073	53.93509	6217.719	6059.191	1000.0	1000.0	191999	432.99475	84.57559	508.32043	4.976241	432.99445	84.576195	509.34442	-11.502627	2.805769	4.316059	34.020954	-13.655903	-432.79712	18.03434	3532.5294256210327
49	5849.9873	87.72699	5962.883	5762.4624	6152.2725	108.64465	6248.607	5839.0625	1000.0	1000.0	195999	435.78696	84.626015	510.6543	12.699399	435.7871	84.626175	511.49158	9.4223	2.8321044	4.3294425	35.38932	-12.352176	-435.60892	18.277328	3606.168459415436
50	4546.4956	2028.7883	5750.2295	1032.7096	6124.6187	133.85509	6238.22	5771.8735	1000.0	1000.0	199999	438.0779	85.31185	515.88904	-2.7770023	438.07764	85.312836	516.48553	-26.402206	2.85005	4.3367877	33.096996	-13.835249	-437.86905	18.280426	3680.179426431656
